Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
ABMF00GLP,GP,SEPT POLARX5,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,16.262299821868854,-61.52753659928237,-25.747896777557475,2919785.7,-5383745.05,1774604.07,ROBOT,"IGS14 Core, IGS20, IGS14, IGS, IGS Multi-GNSS, RTS",IGN,97103M001,INTERNAL,Institut National de l'Information Geographique et,1
ABPO00MDG,MG,SEPT POLARX5,ASH701945G_M,SCIT,GPS+GLO+GAL+BDS+QZSS,-19.01830602777778,47.22921169444445,1552.9923,4097216.6805,4429119.0287,-2065771.3676,FIELD,"IGS14 Core, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",JPL,33302M001,INTERNAL,Jet Propulsion Laboratory,201
AC2300USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS+QZSS,60.47509266309052,-150.87795422707268,80.82618988806554,-2752835.7564,-1533596.375,5526823.6389,ROBOT,"RTS, IGS, IGS Multi-GNSS",CDDIS,49296M001,INTERNAL,EarthScope Consortium,1
AC2400USA,US,SEPT POLARX5,TRM159800.00,SCIT,GPS+GLO+GAL+BDS+QZSS,58.68157222222222,-156.6527555555555,36.4,-3051338.7572,-1317097.8223,5425614.2192,ROBOT,"RTS, IGS, IGS Multi-GNSS",CDDIS,49239M001,INTERNAL,EarthScope Consortium,1
ACRG00GHA,GH,JAVAD TRE_3S,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,5.641472222222221,-0.20711111111111108,83.4,6347491.377,-22944.8986,622822.4766,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,32904M001,INTERNAL,GeoForschungsZentrum,1
ACSO00USA,US,SEPT POLARX5,TRM59800.80,SCIT,GPS+GLO+GAL+BDS,40.232360790068874,-82.98153181991904,248.17470550876226,595828.1794,-4839733.9182,4097876.5995,COPIED,"RTS, IGS, IGS Multi-GNSS",CDDIS,49297M001,INTERNAL,EarthScope Consortium,1
ADIS00ETH,ET,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+SBAS,9.035135727777778,38.76630398055556,2439.149,4913652.76087,3945922.66962,995383.33311,ROBOT,"IGS20, IGS14, IGS Multi-GNSS, RTS, IGS",IGN,31502M001,,Addis Ababa University,47
AGGO00ARG,AR,SEPT POLARX5TR,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,-34.873708333333326,-58.1398611111111,42.085,2765120.9,-4449250.25,-3626405.6,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,41596M001,EXTERNAL CESIUM,"Bundesamt fuer Kartographie und Geodaesie, Argentinean-German Geodetic Observatory",205
AIRA00JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,31.82406111111111,130.59959166666667,314.64,-3530185.489,4118797.337,3344036.931,ROBOT,"IGS08, IGS20, IGS, IGS Multi-GNSS, RTS",CDDIS,21742S001,INTERNAL,Geospatial Information Authority of Japan,1
AJAC00FRA,FR,LEICA GR50,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,41.92745,8.762608333333333,98.8,4696990.0,723994.0,4239678.0,ROBOT,"IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",BKG,10077M005,INTERNAL,Institut National de l'Information Geographique et,16
ALAC00ESP,ES,LEICA GR50,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS,38.338916666666655,-0.48123333333333335,60.3,5009051.41,-42072.468,3935057.475,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,13433M001,INTERNAL,Instituto Geografico Nacional,1
ALBH00CAN,CA,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL,48.38980000000001,-123.48739999999998,32.0,-2341332.884,-3539049.509,4745791.36,ROBOT,"IGS14 Core, IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",PGC,40129M003,EXTERNAL H-MASER,Geological Survey of Canada,1
ALGO00CAN,CA,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL,45.95580039898852,-78.07136759112825,200.8294485278988,918129.4,-4346071.2,4561977.8,ROBOT,"IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",CDDIS,40104M002,INTERNAL,Natural Resources Canada,1
ALIC00AUS,AU,SEPT POLARX5,TWIVC6050,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-23.67011111111111,133.88552222222222,603.2,-4052052.725,4212835.9727,-2545104.5766,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",GA,50137M001,INTERNAL,Geoscience Australia,1
ALRT00CAN,CA,SEPT POLARX5,ASH701945D_M,NONE,GPS+GLO+GAL,82.49429444444442,-62.340461111111125,78.11,388042.75,-740382.4,6302001.85,ROBOT,"IGS08, IGS20, IGS14, IGS",CDDIS,40162M001,INTERNAL,"NRCan, Geodetic Survey Division",3
AMC400USA,US,SEPT POLARX5TR,TPSCR.G5C,NONE,GPS+GLO+GAL+BDS,38.803124999999994,-104.52459722222221,1911.3941,-1248596.405,-4819428.21,3976505.93,ROBOT,"IGS, IGS Multi-GNSS",JPL,40472S005,EXTERNAL H-MASER,"U.S. Naval Observatory, Jet Propulsion Laboratory",1
ANK200TUR,TR,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,39.84279722222223,32.775347222222216,1294.3,4124040.177,2655251.841,4065428.467,ROBOT,"IGS, IGS Multi-GNSS",IGN,20818M001,INTERNAL,General Command of Mapping Turkey,1
