station,window_start,window_end,amb_resets,cn0,code_wrms,h_conv,mp1,mp2,mp5,mw12,mw15,mw25,phase_wrms,satellite_gaps,uptime,v_conv,score,rank
BRUX,2019-01-01,2025-12-31,0.9538933507755584,0.8874849767503036,0.7875594111074771,0.9244647272694987,0.28777607248289067,0.20181162630601399,0.22208231629833042,0.3571808105754204,0.28122366001421123,0.5399110063168232,0.791693096869727,0.6923647181534851,0.9984356667970278,0.9053427158408152,0.8242195405003456,1
HERS,2019-01-01,2025-12-31,0.9492218418553864,0.9088082266352805,0.6816630299389964,0.9047681582649263,0.26854652423332753,0.23830761558710348,0.2560764156521652,0.3615361388088167,0.334182704382655,0.5463673329475767,0.7825418660385027,0.7794252291770258,0.9956980836918263,0.8638279414175638,0.8122466780472231,2
VNDP,2019-01-01,2025-12-31,0.9738592591822742,0.8853756374811533,0.7507560456017748,0.9164511841069763,0.29932983083581005,0.31162154459917696,0.34962729204061305,0.25036463433956835,0.26424852344379596,0.4426236463306009,0.7767418336276546,0.901136274415959,0.6648416112631991,0.8920257352195002,0.8122017756512416,3
STJ3,2019-01-01,2025-12-31,0.956144550311963,0.9097069618997105,0.7272985152857249,0.9120529507402325,0.2626238217656821,0.2597511691010531,0.25010264379610897,0.3351139333262566,0.31440638052813613,0.5227939880678397,0.7654993237132558,0.7830759273612395,0.9788815017598749,0.895901958331596,0.8121065047918993,4
RIO2,2019-01-01,2025-12-31,0.9547849362299802,0.8631790173811436,0.7698446125893449,0.8806419526207564,0.3906394061119627,0.3291662872910989,0.3097058366811821,0.41951361525643616,0.36367970330086535,0.4995569273380563,0.761961552999358,0.5742981564103429,0.9937426671881111,0.9025235794171196,0.8020122729017668,5
LROC,2019-01-01,2025-12-31,0.7015118024011817,0.9037781010073019,0.9150060357963281,0.8839981836977209,0.1595764026622788,0.38211687129622585,0.5775140122078487,0.37199880137927543,0.5409718002215884,0.6210827981893711,0.9140463520665759,0.4537100272774943,0.9178725068439577,0.8652637352862692,0.7970524815976271,6
METG,2019-01-01,2025-12-31,0.9224044273865225,0.8935799906111598,0.7503766951920813,0.8934874082941118,0.300690837714416,0.2484320085959448,0.24444745145718147,0.31143650256104594,0.23223563072653838,0.45372601122882933,0.7343832243357127,0.722800203735906,0.9769260852561595,0.8965030196766023,0.791985682027042,7
DRAO,2019-01-01,2025-12-31,0.9352177312224611,0.9006737454381792,0.6556045858391627,0.9231897627965043,0.3474378221676889,0.24640594018100534,0.21138779620846657,0.3535571705627705,0.31641372302690773,0.6101879155310873,0.7557054020049997,0.6086840399691851,0.9941337504888541,0.8952278325123152,0.7896856315218145,8
QAQ1,2019-01-01,2025-12-31,0.8030017777619924,0.8357820939425111,0.6731364044629138,0.9139678892656,0.20828866801267307,0.19179260509371587,0.18736663805055997,0.3472327269784162,0.3756063833816355,0.4984515140011851,0.8193580025370241,0.670378174838508,0.7911615174032068,0.8904119012812796,0.7895033271448069,9
WILL,2019-01-01,2025-12-31,0.9439123244091754,0.8803666972107651,0.6997532128043471,0.7597791752607059,0.26352103440289354,0.20368302800962454,0.19541480500427133,0.32768972607181585,0.27833265874530977,0.6087695191514741,0.7742221357482961,0.852456133628811,0.6096988658584278,0.8995064406179452,0.7885003055466793,10
