station,window_start,window_end,amb_resets_no_kf,cn0,mp1,mp2,mp5,mw12,mw15,mw25,satellite_gaps,uptime,score,rank
SCH2,2019-01-01,2025-12-31,0.8919549293599139,0.8857374627023483,0.9305893876380902,0.80145185119837,0.5258035171555311,0.9403502558913875,0.7974237035841014,0.7843153419673945,0.4227040028561211,0.9878764176769652,0.752698591788554,1
PALM,2019-01-01,2025-12-31,0.7350004518004409,0.8218256963290541,0.546863649725823,0.652314592301477,0.650302209821238,0.6796505261828678,0.7154542636757805,0.7523929841798985,0.6297661401354008,0.9256941728588189,0.7010173841313552,2
WARN,2019-01-01,2025-12-31,0.9143966433654481,0.9532074303341027,0.8834613245262046,0.5725688905959981,0.3274948437870819,0.6698182838316735,0.5176675922154781,0.7020192359230828,0.6400451923347419,0.9988267500977708,0.6815044323147594,3
KZN2,2019-01-01,2025-12-31,0.9419888699085622,0.8683501177389995,0.8106904943570475,0.9339667398229877,0.71186225845922,0.7087931826641786,0.7127368407615673,0.8323597790337942,0.12189028922894685,0.5795854517012123,0.6784758736969636,4
UTQI,2019-01-01,2025-12-31,0.5855281520351951,0.8247791708082519,0.876553239097865,0.6948509148691144,0.3559083348964766,0.9031854160304077,0.6857647017127736,0.6807724602145157,0.48015607090475887,0.9910050840829097,0.6783272199968771,5
POL2,2019-01-01,2025-12-31,0.6768064641133646,0.918536519065612,0.9561322547874631,0.41130901115871854,0.26370585975959693,0.9040535514494275,0.7343934038878216,0.847607524462453,0.45856712852461834,0.9964802502933124,0.6694409777895535,6
OHI2,2019-01-01,2025-12-31,0.9380288612329424,0.9097975700133635,0.9064156160345451,0.7007884236243536,0.3498375258667388,0.8216635493766431,0.632998955414377,0.6229164065040246,0.42448849699386526,0.6280797809933516,0.6653104951713834,7
PIMO,2019-01-01,2025-12-31,0.8065230817849629,0.786739419161414,0.7308348141597142,0.6859819504640814,0.5553718440056507,0.7923449959720438,0.7098895601225799,0.7379303635115652,0.19069647357999298,0.9155260070394994,0.6644016932494218,8
IQAL,2019-01-01,2025-12-31,0.7063845726639998,0.8471357413550927,0.33484042127777985,0.4892061364281219,0.8516456809114561,0.5942139213676925,0.7634103908663147,0.8532516580522386,0.44222087854383774,0.9996089166992569,0.65829059585506,9
STHL,2019-01-01,2025-12-31,0.7582996356103162,0.8823695222749275,0.9585177199391408,0.336750096887499,0.22996535965745316,0.8334892464897038,0.6195352958466502,0.7009191289740025,0.5338170540397391,0.9429018380915135,0.64359000992402,10
MBAR,2019-01-01,2025-12-31,0.6103245215476921,0.8640118537080379,0.9548880193380975,0.4063505189260666,0.31942221945057137,0.8575034080100613,0.6927003968919678,0.7755046434898303,0.3451108251332058,0.9436840046929996,0.6425935737811489,11
SUTM,2019-01-01,2025-12-31,0.9433931413892264,0.9180765266231244,0.9203264575813084,0.539685132489159,0.3402013461590265,0.6757325635874863,0.43805969666992584,0.5172970005232542,0.450647058909342,0.9964802502933124,0.6395824526144938,12
POTS,2019-01-01,2025-12-31,0.9486672165797105,0.9168135893640107,0.9260884335140901,0.6049632230004081,0.3149769103796999,0.6683361281299759,0.41510611236907446,0.5035078496522003,0.44343641518851407,0.9996089166992569,0.6382383605427131,13
MCM4,2019-01-01,2025-12-31,0.282253338416906,0.8932218531994659,0.780234268695435,0.6893509590119872,0.44413840950114236,0.8092482633959674,0.6244924917565793,0.6653571416565383,0.44901289616667217,0.9960891669925694,0.6368861927994707,14
URUM,2019-01-01,2025-12-31,0.9379264277551207,0.9073876835989901,0.9072012249014294,0.575327239431815,0.32834466149420505,0.6686959530366335,0.43599363020058285,0.5141135449831676,0.4227462323772656,0.9968713335940556,0.636059164773443,15
STPM,2019-01-01,2025-12-31,0.9319505320934535,0.8913235408656645,0.468576193382632,0.6141562791207515,0.6577975432914557,0.3166424226250544,0.6270471599462898,0.7120950495540816,0.5667989716390323,0.7536175205318733,0.6359050722225361,16
VOIM,2019-01-01,2025-12-31,0.9270283731194592,0.8899696566336491,0.776056949432811,0.45533179365563614,0.2699291014097703,0.7639756672395054,0.5892476773594414,0.6194209795768942,0.37863271630831863,0.9225655064528745,0.6308278934284651,17
CZTG,2019-01-01,2025-12-31,0.9154622383930652,0.9019930012864332,0.6030398170556925,0.6937507600694234,0.6935042119907701,0.29302434365764324,0.6783354084085915,0.7556277695422792,0.18156553740632264,0.9151349237387564,0.6307122935115944,18
HLFX,2019-01-01,2025-12-31,0.941336168378048,0.8596096752914083,0.37158278622348206,0.5172469805721114,0.6917322910291883,0.4280458334472578,0.5508766623200547,0.7267406032953831,0.4039013834057119,0.9964802502933124,0.6236049974215869,19
WIND,2019-01-01,2025-12-31,0.9393319803514817,0.9228425885591774,0.9275883145709765,0.5101781891464024,0.365003634978983,0.6782994843263542,0.4417089273410722,0.529051958595757,0.2953971755685364,0.9534610872115761,0.6235089358128623,20
SCUB,2019-01-01,2025-12-31,0.9291969180136497,0.8766705663206878,0.9372672317269523,0.4022511704996405,0.17602654238295967,0.9259896066334717,0.7012567785431709,0.8051863582319786,0.13363895924824254,0.8279233476730543,0.6233360898550336,21
HRAO,2019-01-01,2025-12-31,0.8791559871239681,0.8097177949445762,0.5300710955256127,0.511893731584525,0.38126672025435626,0.6069640712721223,0.49390529743566114,0.5946901111159343,0.5804162760671254,0.9116151740320688,0.6160292490405312,22
YKRO,2019-01-01,2025-12-31,0.592821497917955,0.8090112127945241,0.9355846775413481,0.37581823238603107,0.30735439152845334,0.8403944710708198,0.5922624552240687,0.5812610994799013,0.43002442065704305,0.926867422761048,0.6158220887893967,23
ULAB,2019-01-01,2025-12-31,0.934688705124315,0.9191143024844988,0.8897251307162324,0.5896821476393349,0.3065379976201225,0.6507151619227126,0.405480800713835,0.47660359260995666,0.28401659212509234,0.9847477512710208,0.6121045209241951,24
BAKE,2019-01-01,2025-12-31,0.6683044079648827,0.8480300373995064,0.23280134495751537,0.4173966417703059,0.8052684694086637,0.433346596464565,0.634536053521933,0.760305864123048,0.49961738109203935,0.9980445834962847,0.607428436260888,25
PIE1,2019-01-01,2025-12-31,0.7899615011158413,0.799719500389517,0.8294248890650582,0.5161318408848005,0.33416992329661843,0.7519468401844627,0.5115700833204503,0.6207187076532726,0.15526153285011535,0.9851388345717638,0.6040938794880736,26
GODN,2019-01-01,2025-12-31,0.7563184287423812,0.8259193079371488,0.9428530552777878,0.377520656168568,0.1838732535040707,0.79388290486004,0.5227735033981571,0.5615214296195138,0.361836742062734,0.9831834180680485,0.6025799812701219,27
JOG2,2019-01-01,2025-12-31,0.8541561586719403,0.8481408146170403,0.7191481336970673,0.4203673582062925,0.2692584705936647,0.6951389347244,0.570220885150107,0.6529289084618312,0.1586289465711923,0.959718420023465,0.5912686435657448,28
BSHM,2019-01-01,2025-12-31,0.6910727827613771,0.8796000545312459,0.5725327035004202,0.5479179445142492,0.4518933476170598,0.5457780194127263,0.4984405459533925,0.6165429878564463,0.19527648463524105,0.9734063355494721,0.5826139413284269,29
CRO1,2019-01-01,2025-12-31,0.7340104322832225,0.8908362614957579,0.4996681375645522,0.4886241308570573,0.39957164497263425,0.4950891718625982,0.4652598329037707,0.5852860612832465,0.4014067585873834,1.0,0.5825456827908354,30
KMNM,2019-01-01,2025-12-31,0.7687398647369301,0.5348429371179754,0.6609466503646323,0.6018369186357362,0.5148919895540897,0.28990028000483686,0.5101534191621828,0.7107318895960281,0.39906229729768306,0.8330074305827141,0.5746992357671278,31
SYDN,2019-01-01,2025-12-31,0.912860768158632,0.6247800447001662,0.25518349751747793,0.5374104570687029,0.7356057010869584,0.5251854125447353,0.6845882679779726,0.7375404069849588,0.0,0.9608916699256942,0.5741463734404811,32
SGOC,2019-01-01,2025-12-31,0.8628123203382432,0.8651522001476898,0.8478385160421861,0.4815791870568069,0.3774182753538761,0.609218293589661,0.40797062687475594,0.48382446638839943,0.029628055405030218,0.959718420023465,0.5703110340163007,33
THTI,2019-01-01,2025-12-31,0.4810110093497004,0.8123021076980523,0.5047824134853415,0.7612410777372697,0.6250887762346583,0.49308737908400857,0.700980524934124,0.7748148259586211,0.17973210964065633,0.3844348846304263,0.5625230503075894,34
RIO2,2019-01-01,2025-12-31,0.9553617449228685,0.863177354457209,0.39059753802200353,0.32912979122262626,0.3097207978749581,0.41956649632213183,0.3636252306893172,0.4994630319340052,0.5742981564103429,0.9937426671881111,0.5554109254282618,35
LROC,2019-01-01,2025-12-31,0.7006260855190535,0.9037773466132006,0.15951409538875214,0.3820709081351922,0.5774994839706152,0.3720486891588964,0.5409180481127265,0.6210004596999084,0.4537100272774943,0.9178725068439577,0.5521455765104442,36
MKEA,2019-01-01,2025-12-31,0.824680436600115,0.8766841885539447,0.39905237578943004,0.3897200836606308,0.36345120001673326,0.41102611403580724,0.39034500231568336,0.4818682411589092,0.5015123427273933,0.9890496675791943,0.5520204592487006,37
MOBS,2019-01-01,2025-12-31,0.9475015912661305,0.8074090178201785,0.2886786037451026,0.3337952707008767,0.40518295002595134,0.3630922276083025,0.35616793184173373,0.5612941106639691,0.6043940863139707,0.9491591709034024,0.54971256063573,38
KAT1,2019-01-01,2025-12-31,0.9069825465001481,0.8781140485116744,0.28802358972998043,0.3095638145011459,0.32878953980063774,0.3327985801796502,0.33741467281731813,0.45603675164876134,0.822357994955365,0.9749706687524443,0.548489714102288,39
HERS,2019-01-01,2025-12-31,0.9495105308047498,0.9088057037307766,0.2684944059086799,0.2382776886557295,0.25609791808663623,0.361584331521535,0.33412752024607073,0.5462790447659892,0.7794252291770258,0.9956980836918263,0.5470257471489156,40
TOW2,2019-01-01,2025-12-31,0.9464529468832187,0.8706772469974481,0.2783133576528193,0.2712179427917472,0.3045352589366534,0.28572889143080443,0.3193217724047077,0.5081702483705726,0.9073117067667106,0.939382088384826,0.5466167146847537,41
MDO1,2019-01-01,2025-12-31,0.9488820600522818,0.886668073073569,0.34293299762197416,0.32330413678458325,0.2965488691580197,0.42260808937359867,0.39302508194788016,0.4640177356657183,0.5885537842667659,0.9123973406335549,0.5464181522874062,42
KRGG,2019-01-01,2025-12-31,0.9229026128803345,0.9286030046715135,0.4421454435391289,0.42540787872128544,0.33924972897847605,0.2534655463069606,0.3309782008718866,0.41613597502804434,0.531173145806243,0.9804458349628471,0.5445701630624984,43
LCK4,2019-01-01,2025-12-31,0.8568293504308179,0.9130877924726677,0.5975591197264611,0.5321728205762684,0.3544168205792346,0.1596544402956068,0.304879083186921,0.4528134781166035,0.6651996117298339,0.7004301916308173,0.5443175830278187,44
STJ3,2019-01-01,2025-12-31,0.9571957630714355,0.9097047198092516,0.26257180685323434,0.2597196351408452,0.250124707052024,0.335159446210921,0.3143500171011624,0.5227022257027394,0.7830759273612395,0.9788815017598749,0.5421573203341643,45
GAMB,2019-01-01,2025-12-31,0.8483413863953232,0.9004349346655318,0.4886153678504201,0.550886410745278,0.48179020868686057,0.13695311032994517,0.24507448212920907,0.42006088951638737,0.47839828202591783,0.9655846695346109,0.5405229801598259,46
BRST,2019-01-01,2025-12-31,0.9189405084842347,0.9065003978958639,0.47929704736270934,0.40638825915389015,0.3221081054491251,0.3151389633556589,0.3665332172239034,0.45143416790470475,0.3620297650881078,0.9831834180680485,0.5403715546048854,47
DRAO,2019-01-01,2025-12-31,0.935067492827683,0.9006714000268049,0.3473924750530819,0.24637453114240776,0.21141303169644043,0.3536047004870113,0.31635807983448516,0.6101071269282828,0.6086840399691851,0.9941337504888541,0.539403644876842,48
UFPR,2019-01-01,2025-12-31,0.8971802302770708,0.9005456445402663,0.4292787197554148,0.3770239748709685,0.3075805234795929,0.31249922430955906,0.3333482247685823,0.39218479614337404,0.5291996146058111,0.9855299178725069,0.5366283740697699,49
POAL,2019-01-01,2025-12-31,0.9157570696456718,0.8979712117360054,0.4145145049345915,0.3561363176455723,0.28469563817242294,0.33403285235196534,0.3489575432589869,0.37650260705819355,0.5301829668386716,0.9890496675791943,0.5350325850349773,50
TLSE,2019-01-01,2025-12-31,0.9205272480186573,0.918480128154951,0.4800773982553145,0.4324195036820069,0.3735030087124176,0.15457722674336577,0.22231296330521141,0.45568042776253237,0.5058325434841149,0.9859210011732499,0.534121461020744,51
EUR2,2019-01-01,2025-12-31,0.6186760212322473,0.8603373513952347,0.17371874274881582,0.3274151424219827,0.5670839999473529,0.3204414120152465,0.4208257671821689,0.6766269741241535,0.4474976885037768,0.9968713335940556,0.5331257721055866,52
LMMF,2019-01-01,2025-12-31,0.8762990143046809,0.888299576050326,0.5724660078222369,0.4396172351026769,0.35649161348712977,0.2282421053825629,0.3358503317359261,0.3793035177555043,0.33519522289169834,0.9972624168947986,0.5319693353152315,53
KIT3,2019-01-01,2025-12-31,0.9325525864954397,0.8865101531237319,0.3970589307166585,0.3834663558676176,0.3226576379889472,0.4701484576109311,0.40487086536043226,0.5396508630183992,0.11890878850481734,0.9569808369182636,0.5318074723327425,54
NKLG,2019-01-01,2025-12-31,0.8686878156028858,0.8677714896474431,0.3238583450193458,0.32030568842221335,0.32220742888493864,0.25472460054843776,0.2835982922480333,0.42754480687233265,0.7601866582060955,0.9839655846695347,0.5315902709194045,55
BRUX,2019-01-01,2025-12-31,0.9545584184652834,0.8874827833223797,0.287725675265688,0.2017833266105759,0.22210701441015962,0.3572286072859949,0.28116735893604744,0.5398220475647412,0.6923647181534851,0.9984356667970278,0.530986251887692,56
THTG,2019-01-01,2025-12-31,0.8842497078475969,0.8856296098085662,0.2698553607146221,0.3052049156919519,0.33000830332280495,0.2572230066265948,0.27788809293615696,0.47302460907620425,0.7280899400022899,0.9855299178725069,0.5300440548877587,57
MCHL,2019-01-01,2025-12-31,0.9215260436324354,0.9062269625701109,0.4793960461107423,0.4245271278912663,0.3156868270519516,0.29893065538121877,0.29494429779972,0.240216091467672,0.5337250642225395,0.9554165037152914,0.5286778815597906,58
VNDP,2019-01-01,2025-12-31,0.9735904346099731,0.8853830558927271,0.299274246260965,0.3115517044631324,0.3496141731844828,0.2504077403802574,0.26417268903020685,0.44250665588646476,0.901136274415959,0.6648416112631991,0.5261708617429416,59
UNSA,2019-01-01,2025-12-31,0.8299449385683322,0.8512810090785516,0.32489889645439135,0.41162291366629594,0.3958050031297623,0.40309868735616294,0.40126434596962013,0.43691065913059,0.2684359682927254,0.993351583887368,0.5255860025068548,60
LPAL,2019-01-01,2025-12-31,0.8634784330540745,0.9902382160310816,0.18100101581652278,0.3188301324722679,0.44482443584892073,0.2865567615828334,0.4191538903836074,0.48416477690375437,0.6767510310241993,0.6390301134141572,0.5244746230781135,61
MRO1,2019-01-01,2025-12-31,0.9034815527008986,0.8758928620234089,0.395113337220366,0.38664205504021326,0.34836773359148315,0.248475378038551,0.2596851428937629,0.3821455179565087,0.5148865146848479,0.9902229174814235,0.5236795341257293,62
KOUG,2019-01-01,2025-12-31,0.8552496135707491,0.8748358005389354,0.289241209187242,0.3270295888006058,0.3381790524304644,0.23221273776792486,0.2785097588689351,0.5110870067780705,0.6086840399691851,0.9827923347673054,0.5230787063293286,63
METG,2019-01-01,2025-12-31,0.9230686907331294,0.8935781056581996,0.30064129677776136,0.2484000065492819,0.24447029206804483,0.3114805495682249,0.23217756706844042,0.45362901537826283,0.722800203735906,0.9769260852561595,0.5227078861300376,64
GRAS,2019-01-01,2025-12-31,0.7347434306125044,0.8333383567052195,0.37997996846644855,0.4612482348910862,0.37145856147989087,0.28204293424057414,0.3956809988000008,0.456662304042593,0.7799410713545732,0.5612045365662887,0.5225995729546395,65
LAUT,2019-01-01,2025-12-31,0.8787350126606088,0.8613742748030425,0.32181992980537766,0.3628511737243771,0.3637247509550396,0.3549098522873925,0.3468322877554125,0.45718741857662093,0.4272513961051686,0.8951896754008604,0.5221573437767062,66
